Rank,+/-,Song,Artist,Points,Points%,Peak,WoC,Sales,Sales%,Streams,Streams%,Airplay,Airplay%,Units
1,+1,Golden,"Huntr/X, Ejae, Audrey Nuna, REI Ami & Kpop Demon Hunters",242,12%,1,7,6.5k,3%,31.5m,93%,8.4m,4%,229.8k
2,-1,Ordinary,Alex Warren,242,7%,1,26,8.0k,3%,21.0m,59%,73.5m,38%,146.4k
3,NEW,The Subway,Chappell Roan,192,--,3,1,5.5k,3%,25.2m,96%,1.0m,1%,189.4k
4,-1,What I Want,"Morgan Wallen feat. Tate McRae",168,1%,1,12,2.0k,1%,19.8m,81%,23.8m,18%,133.4k
5,-1,Daisies,Justin Bieber,146,-4%,2,4,2.0k,2%,15.8m,80%,21.6m,18%,117.5k
6,=,Love Me Not,Ravyn Lenae,143,1%,6,19,0.8k,1%,12.7m,61%,44.0m,39%,87.0k
7,-2,Just In Case,Morgan Wallen,142,-3%,2,20,1.5k,1%,15.3m,73%,29.4m,26%,101.5k
8,+1,Your Idol,"Saja Boys, Andrew Choi, neckwav, Danny Chung",142,4%,8,7,2.0k,1%,19.7m,98%,0.2m,0%,141.2k
9,-2,Lose Control,Teddy Swims,140,1%,1,103,2.0k,1%,16.0m,68%,34.1m,30%,90.7k
10,-2,A Bar Song (Tipsy),Shaboozey,138,0%,1,69,2.0k,1%,13.8m,63%,39.5m,36%,83.5k
11,-1,Die With A Smile,"Lady Gaga & Bruno Mars",133,-1%,1,51,1.5k,1%,11.0m,54%,47.8m,45%,71.4k
12,-1,I'm The Problem,Morgan Wallen,132,0%,2,27,1.5k,1%,15.9m,79%,20.8m,20%,101.4k
13,-1,Luther,"Kendrick Lamar & SZA",127,-2%,1,37,0.6k,0%,10.6m,54%,45.9m,45%,67.0k
14,+2,Soda Pop,"Saja Boys, Samuil Lee, Andrew Choi, Danny Chung",127,6%,14,6,2.5k,2%,16.9m,98%,0.0m,0%,126.0k
15,-2,Manchild,Sabrina Carpenter,125,-4%,1,9,1.0k,1%,10.6m,59%,40.1m,40%,73.0k
16,+1,Good News,Shaboozey,124,8%,16,37,2.0k,1%,8.2m,40%,58.5m,59%,46.8k
17,-3,Pink Pony Club,Chappell Roan,123,1%,4,60,3.0k,3%,10.7m,60%,37.0m,38%,75.2k
18,-3,Beautiful Things,Benson Boone,122,1%,2,80,1.5k,1%,12.7m,66%,31.5m,32%,79.0k
19,=,How It's Done,"Huntr/X, Ejae, Audrey Nuna, REI Ami, Kpop Demon Hunters",120,4%,19,6,2.0k,2%,16.3m,98%,0.0m,0%,119.6k
20,-2,Mutt,Leon Thomas,120,4%,12,27,0.7k,1%,9.0m,52%,45.7m,48%,61.4k
21,-1,I Had Some Help,"Post Malone feat. Morgan Wallen",112,-1%,1,65,1.5k,1%,12.3m,71%,25.0m,28%,76.7k
22,=,Birds Of A Feather,Billie Eilish,110,-1%,2,64,0.8k,1%,10.0m,61%,33.8m,39%,65.7k
23,+1,I Got Better,Morgan Wallen,107,4%,7,12,0.7k,1%,13.2m,86%,11.3m,13%,90.9k
24,+1,Mystical Magical,Benson Boone,106,3%,17,15,1.5k,1%,10.8m,70%,24.2m,29%,73.7k
25,+4,What It Sounds Like,"Ejae, REI Ami, Audrey Nuna, Huntr/X, Kpop Demon Hunters",100,8%,25,6,2.5k,2%,13.5m,98%,0.0m,0%,99.9k
26,=,Sorry I'm Here For Someone Else,Benson Boone,99,1%,19,23,0.8k,1%,6.0m,40%,46.9m,59%,37.9k
27,+1,Free,"Jinu, Ejae, Rumi, Andrew Choi, Kpop Demon Hunters",98,6%,27,6,2.0k,2%,13.6m,98%,0.0m,0%,97.8k
28,+2,Undressed,sombr,96,4%,25,18,0.7k,1%,8.7m,61%,29.3m,38%,58.0k
29,+4,Takedown,"Audrey Nuna, REI Ami, Huntr/X, Ejae, Kpop Demon Hunters",96,10%,29,6,1.5k,2%,13.3m,98%,0.0m,0%,95.5k
30,+2,Back To Friends,sombr,93,3%,30,19,0.4k,0%,12.3m,91%,6.1m,8%,84.6k
31,-4,All The Way,"BigXthaPlug & Bailey Zimmerman",91,-3%,4,18,1.0k,1%,12.1m,86%,9.3m,13%,75.1k
32,+8,Yukon,Justin Bieber,89,7%,17,4,0.9k,1%,10.4m,89%,7.1m,10%,79.6k
33,+1,Blue Stripes,Jessie Murph,87,0%,15,17,1.5k,2%,8.9m,70%,20.1m,29%,60.3k
34,+9,It Depends,"Chris Brown feat. Bryson Tiller",87,10%,34,2,2.0k,2%,12.2m,94%,2.4m,3%,81.9k
35,+6,Burning Blue,Mariah The Scientist,86,7%,25,14,0.7k,1%,8.9m,65%,23.6m,34%,55.4k
36,=,30 For 30,"SZA & Kendrick Lamar",85,0%,10,33,0.2k,0%,4.9m,39%,41.2m,60%,32.9k
37,-2,Backup Plan,"Bailey Zimmerman & Luke Combs",85,-2%,34,14,1.5k,2%,8.0m,63%,23.9m,35%,61.9k
38,+4,After All The Bars Are Closed,Thomas Rhett,83,4%,38,15,0.6k,1%,6.5m,52%,31.4m,47%,41.9k
39,-18,Miami,"Morgan Wallen, Lil Wayne, & Rick Ross",79,-29%,21,5,0.7k,1%,10.6m,97%,1.2m,2%,76.0k
40,-9,What Did I Miss?,Drake,79,-15%,2,5,0.3k,0%,7.4m,68%,20.0m,32%,53.0k
41,+3,Worst Way,Riley Green,78,0%,20,30,1.0k,1%,9.4m,79%,11.9m,19%,60.5k
42,-5,Nokia,Drake,77,-9%,2,25,0.7k,1%,7.9m,73%,16.2m,26%,56.0k
43,+2,APT.,"ROSE & Bruno Mars",76,-2%,3,42,1.5k,2%,8.2m,69%,17.6m,29%,52.8k
44,+5,Happen To Me,Russell Dickerson,76,3%,44,16,0.8k,1%,6.6m,58%,24.7m,41%,42.4k
45,+1,Love Somebody,Morgan Wallen,75,-4%,1,42,0.9k,1%,8.9m,77%,13.1m,22%,55.8k
46,+8,Folded,Kehlani,74,23%,46,8,0.5k,1%,9.5m,88%,6.6m,11%,64.5k
47,-9,Back In The Saddle,Luke Combs,67,-20%,38,2,1.0k,2%,7.7m,79%,10.6m,20%,51.0k
48,+2,Eternity,Alex Warren,62,-12%,16,3,0.9k,1%,8.8m,98%,0.1m,0%,61.1k
49,-26,Which One,"Drake feat. Central Cee",62,-44%,23,2,1.0k,2%,7.5m,90%,3.9m,8%,56.6k
50,+2,20 Cigarettes,Morgan Wallen,60,-4%,20,12,0.2k,0%,8.1m,99%,0.1m,0%,58.7k
51,+14,Fix What You Didn't Break,Nate Smith,59,11%,51,19,1.0k,2%,3.1m,33%,30.7m,65%,18.9k
52,+10,Better Me For You (Brown Eyes),Max McNown,59,9%,52,8,4.0k,7%,7.6m,87%,2.8m,6%,52.9k
53,=,6 Months Later,Megan Moroney,58,-4%,30,7,0.5k,1%,7.6m,92%,3.4m,7%,51.7k
54,+9,Bottle Rockets,"Scotty McCreery & Hootie & The Blowfish",58,7%,54,7,2.0k,3%,4.9m,54%,19.8m,43%,30.8k
55,NEW,Napoleon,$uicideboy$,58,--,55,1,0.2k,0%,7.7m,100%,0.0m,0%,57.5k
56,-1,Wildflower,Billie Eilish,57,-2%,17,60,0.2k,0%,6.8m,78%,9.8m,22%,43.8k
57,+3,Outside,Cardi B,57,1%,10,7,0.5k,1%,4.4m,49%,22.8m,50%,26.8k
58,-11,Ring Ring Ring,"Tyler, The Creator",56,-28%,44,3,1.0k,2%,6.7m,88%,4.3m,10%,50.3k
59,-3,Shake It To The Max (Fly),"MOLLY, Silent Addy, Skillibeng & Shenseea",55,-6%,44,12,0.7k,1%,4.6m,57%,18.2m,42%,31.5k
60,-3,I Ain't Comin' Back,"Morgan Wallen & Post Malone",54,-5%,8,16,0.6k,1%,7.4m,90%,3.8m,9%,46.7k
61,+3,Amen,"Shaboozey & Jelly Roll",54,2%,56,15,1.5k,3%,7.8m,95%,0.8m,2%,50.0k
62,NEW,Is It A Crime,"Mariah The Scientist & Kali Uchis",54,--,62,1,0.3k,0%,7.0m,98%,0.7m,2%,52.4k
63,-2,Jump,Blackpink,53,-6%,28,4,0.9k,2%,6.7m,86%,5.1m,12%,46.1k
64,+4,House Again,Hudson Westbrook,53,5%,64,16,0.3k,1%,6.0m,76%,10.0m,24%,38.9k
65,-7,Just Keep Watching,Tate McRae,51,-8%,33,10,1.0k,2%,6.7m,94%,1.6m,4%,48.6k
66,+1,Takedown,Twice,51,2%,66,5,0.6k,1%,7.1m,99%,0.0m,0%,51.0k
67,+8,No Broke Boys,"Disco Lines & Tinashe",51,13%,67,4,0.9k,2%,6.5m,96%,1.0m,2%,48.9k
68,+4,Your Way's Better,Forrest Frank,50,4%,61,16,2.5k,5%,6.4m,84%,4.3m,11%,43.2k
69,+5,Strategy,Twice,50,10%,69,3,0.2k,0%,6.9m,99%,0.1m,0%,49.4k
70,-31,Crazy Train,Ozzy Osbourne,50,-40%,39,3,3.5k,7%,6.7m,89%,1.6m,4%,46.3k
71,-20,Sugar On My Tongue,"Tyler, The Creator",49,-24%,41,3,0.2k,0%,6.7m,99%,0.2m,0%,48.5k
72,-1,Party 4 U,Charli XCX,48,0%,55,16,0.2k,0%,4.8m,71%,11.0m,29%,34.0k
73,-4,Superman,Morgan Wallen,48,-1%,8,13,0.3k,1%,6.9m,99%,0.1m,0%,45.8k
74,+6,Bar None,Jordan Davis,46,7%,74,5,0.5k,1%,3.9m,55%,16.4m,44%,24.1k
75,-5,Twilight Zone,Ariana Grande,45,-6%,18,18,0.3k,1%,1.9m,29%,25.6m,71%,12.8k
76,NEW,Don't Mind If I Do,"Riley Green & Ella Langley",43,--,76,1,0.5k,1%,5.2m,84%,5.3m,15%,35.5k
77,NEW,TNN,"Forrest Frank & The Figs",43,--,77,1,8.0k,18%,4.8m,82%,0.0m,0%,42.9k
78,NEW,Lemonade,"Forrest Frank & The Figs",43,--,78,1,8.0k,18%,4.8m,82%,0.0m,0%,42.9k
79,-3,Bloodline,"Alex Warren & Jelly Roll",43,-3%,32,11,0.6k,1%,6.0m,98%,0.1m,0%,41.6k
80,-1,Sparks,Coldplay,43,-1%,79,4,0.2k,1%,6.1m,99%,0.0m,0%,42.4k
81,+4,Rather Lie,"Playboi Carti & The Weeknd",43,1%,4,21,0.1k,0%,3.0m,48%,17.6m,52%,20.1k
82,+5,Somewhere Over Laredo,Lainey Wilson,42,4%,82,5,0.9k,2%,4.2m,64%,11.4m,34%,26.3k
83,=,Frecuencia,"Los Dareyes De La Sierra",42,-1%,83,3,0.1k,0%,6.9m,99%,0.1m,0%,41.0k
84,-36,"Mama, I'm Coming Home",Ozzy Osbourne,42,-44%,28,20,4.5k,10%,5.7m,87%,1.1m,3%,39.1k
85,+6,Marlboro Rojo,Fuerza Regida,41,3%,64,12,0.1k,0%,5.9m,95%,1.6m,5%,38.1k
86,+6,Revolving Door,Tate McRae,41,3%,22,17,0.2k,0%,3.7m,61%,12.6m,38%,24.4k
87,-1,Nice To Meet You,Myles Smith,41,0%,82,9,0.6k,2%,3.1m,42%,18.6m,57%,15.7k
88,=,EOO,Bad Bunny,41,0%,24,29,0.1k,0%,4.2m,70%,9.7m,30%,28.3k
89,-11,Hard Fought Hallelujah,Brandon Lake,40,-9%,40,25,1.5k,4%,4.8m,80%,5.2m,16%,32.2k
90,NEW,So Far So Fake,"Pierce The Veil",40,--,90,1,0.5k,1%,5.3m,99%,0.0m,0%,39.7k
91,+2,Typa,Glorilla,39,-2%,42,8,0.2k,0%,3.8m,56%,13.6m,44%,20.4k
92,-11,Went Legit,G Herbo,39,-9%,81,5,0.1k,0%,5.5m,85%,4.5m,14%,32.9k
93,NEW,Count Your Blessings,$uicideboy$,39,--,93,1,0.1k,0%,5.2m,100%,0.0m,0%,38.8k
94,NEW,Oh What A Wretched Man I Am!,$uicideboy$,39,--,94,1,0.0k,0%,5.1m,100%,0.0m,0%,38.6k
95,-5,Whim Whamiee,"Pluto & YK NIECE",39,-4%,51,16,0.1k,0%,4.4m,69%,9.4m,30%,26.3k
96,NEW,12 To 12,sombr,37,--,96,1,0.2k,0%,5.0m,100%,0.0m,0%,36.9k
97,NEW,A Lot More Free,"Max McNown",37,--,97,1,1.0k,3%,2.9m,52%,13.2m,45%,19.8k
98,+2,Tu Sancho,Fuerza Regida,37,0%,65,8,0.1k,0%,5.9m,100%,0.0m,0%,36.4k
99,NEW,Somebody,Latto,36,--,99,1,0.1k,0%,4.0m,67%,9.5m,33%,23.8k
100,-16,Park,Tyler Hubbard,36,-14%,84,2,0.2k,1%,0.5m,9%,26.1m,90%,3.5k